Name,Team,Number,Position,Age,Height,Weight,College,Salary
Avery Bradley,Boston Celtics,0,PG,25,164,180,Texas,7730337.0
Jae Crowder,Boston Celtics,99,SF,25,180,235,Marquette,6796117.0
R.J. Hunter,Boston Celtics,28,SG,22,174,185,Georgia State,1148640.0
Jonas Jerebko,Boston Celtics,8,PF,29,154,231,nan,5000000.0
Amir Johnson,Boston Celtics,90,PF,29,165,240,nan,12000000.0
Jordan Mickey,Boston Celtics,55,PF,21,173,235,LSU,1170960.0
Kelly Olynyk,Boston Celtics,41,C,25,151,238,Gonzaga,2165160.0
Terry Rozier,Boston Celtics,12,PG,22,163,190,Louisville,1824360.0
Marcus Smart,Boston Celtics,36,PG,22,162,220,Oklahoma State,3431040.0
Jared Sullinger,Boston Celtics,7,C,24,180,260,Ohio State,2569260.0
Isaiah Thomas,Boston Celtics,4,PG,27,162,185,Washington,6912869.0
Evan Turner,Boston Celtics,11,SG,27,180,220,Ohio State,3425510.0
James Young,Boston Celtics,13,SG,20,169,215,Kentucky,1749840.0
Tyler Zeller,Boston Celtics,44,C,26,173,253,North Carolina,2616975.0
Bojan Bogdanovic,Brooklyn Nets,44,SG,27,167,216,nan,3425510.0
Markel Brown,Brooklyn Nets,22,SG,24,167,190,Oklahoma State,845059.0
Wayne Ellington,Brooklyn Nets,21,SG,28,155,200,North Carolina,1500000.0
Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,173,220,Arizona,1335480.0
Jarrett Jack,Brooklyn Nets,2,PG,32,167,200,Georgia Tech,6300000.0
Sergey Karasev,Brooklyn Nets,10,SG,22,173,208,nan,1599840.0
Sean Kilpatrick,Brooklyn Nets,6,SG,26,175,219,Cincinnati,134215.0
Shane Larkin,Brooklyn Nets,0,PG,23,177,175,Miami (FL),1500000.0
Brook Lopez,Brooklyn Nets,11,C,28,170,275,Stanford,19689000.0
Chris McCullough,Brooklyn Nets,1,PF,21,153,200,Syracuse,1140240.0
Willie Reed,Brooklyn Nets,33,PF,26,161,220,Saint Louis,947276.0
Thomas Robinson,Brooklyn Nets,41,PF,25,156,237,Kansas,981348.0
Henry Sims,Brooklyn Nets,14,C,26,175,248,Georgetown,947276.0
Donald Sloan,Brooklyn Nets,15,PG,28,180,205,Texas A&M,947276.0
Thaddeus Young,Brooklyn Nets,30,PF,27,172,221,Georgia Tech,11235955.0
Arron Afflalo,New York Knicks,4,SG,30,170,210,UCLA,8000000.0
Lou Amundson,New York Knicks,17,PF,33,170,220,UNLV,1635476.0
Thanasis Antetokounmpo,New York Knicks,43,SF,23,178,205,nan,30888.0
Carmelo Anthony,New York Knicks,7,SF,32,172,240,Syracuse,22875000.0
Jose Calderon,New York Knicks,3,PG,34,155,200,nan,7402812.0
Cleanthony Early,New York Knicks,11,SF,25,150,210,Wichita State,845059.0
Langston Galloway,New York Knicks,2,SG,24,160,200,Saint Joseph's,845059.0
Jerian Grant,New York Knicks,13,PG,23,160,195,Notre Dame,1572360.0
Robin Lopez,New York Knicks,8,C,28,176,255,Stanford,12650000.0
Kyle O'Quinn,New York Knicks,9,PF,26,170,250,Norfolk State,3750000.0
Kristaps Porzingis,New York Knicks,6,PF,20,177,240,nan,4131720.0
Kevin Seraphin,New York Knicks,1,C,26,171,278,nan,2814000.0
Lance Thomas,New York Knicks,42,SF,28,156,235,Duke,1636842.0
Sasha Vujacic,New York Knicks,18,SG,32,180,195,nan,947276.0
Derrick Williams,New York Knicks,23,PF,25,158,240,Arizona,4000000.0
Tony Wroten,New York Knicks,5,SG,23,151,205,Washington,167406.0
Isaiah Canaan,Philadelphia 76ers,0,PG,25,158,201,Murray State,947276.0
Robert Covington,Philadelphia 76ers,33,SF,25,172,215,Tennessee State,1000000.0
Joel Embiid,Philadelphia 76ers,21,C,22,163,250,Kansas,4626960.0
Jerami Grant,Philadelphia 76ers,39,SF,22,163,210,Syracuse,845059.0
Richaun Holmes,Philadelphia 76ers,22,PF,22,175,245,Bowling Green,1074169.0
Carl Landry,Philadelphia 76ers,7,PF,32,166,248,Purdue,6500000.0
Kendall Marshall,Philadelphia 76ers,5,PG,24,170,200,North Carolina,2144772.0
T.J. McConnell,Philadelphia 76ers,12,PG,24,178,200,Arizona,525093.0
Nerlens Noel,Philadelphia 76ers,4,PF,22,175,228,Kentucky,3457800.0
Jahlil Okafor,Philadelphia 76ers,8,C,20,155,275,Duke,4582680.0
Ish Smith,Philadelphia 76ers,1,PG,27,154,175,Wake Forest,947276.0
Nik Stauskas,Philadelphia 76ers,11,SG,22,175,205,Michigan,2869440.0
Hollis Thompson,Philadelphia 76ers,31,SG,25,171,206,Georgetown,947276.0
Christian Wood,Philadelphia 76ers,35,PF,20,151,220,UNLV,525093.0
Bismack Biyombo,Toronto Raptors,8,C,23,162,245,nan,2814000.0
Bruno Caboclo,Toronto Raptors,20,SF,20,163,205,nan,1524000.0
DeMarre Carroll,Toronto Raptors,5,SF,29,175,212,Missouri,13600000.0
DeMar DeRozan,Toronto Raptors,10,SG,26,155,220,USC,10050000.0
James Johnson,Toronto Raptors,3,PF,29,164,250,Wake Forest,2500000.0
Cory Joseph,Toronto Raptors,6,PG,24,150,190,Texas,7000000.0
Kyle Lowry,Toronto Raptors,7,PG,30,169,205,Villanova,12000000.0
Lucas Nogueira,Toronto Raptors,92,C,23,178,220,nan,1842000.0
Patrick Patterson,Toronto Raptors,54,PF,27,154,235,Kentucky,6268675.0
Norman Powell,Toronto Raptors,24,SG,23,157,215,UCLA,650000.0
Terrence Ross,Toronto Raptors,31,SF,25,160,195,Washington,3553917.0
Luis Scola,Toronto Raptors,4,PF,36,175,240,nan,2900000.0
Jason Thompson,Toronto Raptors,1,PF,29,174,250,Rider,245177.0
Jonas Valanciunas,Toronto Raptors,17,C,24,177,255,nan,4660482.0
Delon Wright,Toronto Raptors,55,PG,24,159,190,Utah,1509360.0
Leandro Barbosa,Golden State Warriors,19,SG,33,161,194,nan,2500000.0
Harrison Barnes,Golden State Warriors,40,SF,24,150,225,North Carolina,3873398.0
Andrew Bogut,Golden State Warriors,12,C,31,178,260,Utah,13800000.0
Ian Clark,Golden State Warriors,21,SG,25,176,175,Belmont,947276.0
Stephen Curry,Golden State Warriors,30,PG,28,165,190,Davidson,11370786.0
Festus Ezeli,Golden State Warriors,31,C,26,180,265,Vanderbilt,2008748.0
Draymond Green,Golden State Warriors,23,PF,26,169,230,Michigan State,14260870.0
Andre Iguodala,Golden State Warriors,9,SF,32,174,215,Arizona,11710456.0
Shaun Livingston,Golden State Warriors,34,PG,30,153,192,nan,5543725.0
Kevon Looney,Golden State Warriors,36,SF,20,150,220,UCLA,1131960.0
James Michael McAdoo,Golden State Warriors,20,SF,23,151,240,North Carolina,845059.0
Brandon Rush,Golden State Warriors,4,SF,30,153,220,Kansas,1270964.0
Marreese Speights,Golden State Warriors,5,C,28,166,255,Florida,3815000.0
Klay Thompson,Golden State Warriors,11,SG,26,152,215,Washington State,15501000.0
Anderson Varejao,Golden State Warriors,18,PF,33,157,273,nan,289755.0
Cole Aldrich,Los Angeles Clippers,45,C,27,160,250,Kansas,1100602.0
Jeff Ayres,Los Angeles Clippers,19,PF,29,151,250,Arizona State,111444.0
Jamal Crawford,Los Angeles Clippers,11,SG,36,169,195,Michigan,5675000.0
Branden Dawson,Los Angeles Clippers,22,SF,23,151,225,Michigan State,525093.0
Jeff Green,Los Angeles Clippers,8,SF,29,173,235,Georgetown,9650000.0
Blake Griffin,Los Angeles Clippers,32,PF,27,158,251,Oklahoma,18907726.0
Wesley Johnson,Los Angeles Clippers,33,SF,28,166,215,Syracuse,1100602.0
DeAndre Jordan,Los Angeles Clippers,6,C,27,171,265,Texas A&M,19689000.0
Luc Richard Mbah a Moute,Los Angeles Clippers,12,PF,29,167,230,UCLA,947276.0
Chris Paul,Los Angeles Clippers,3,PG,31,152,175,Wake Forest,21468695.0
Paul Pierce,Los Angeles Clippers,34,SF,38,173,235,Kansas,3376000.0
Pablo Prigioni,Los Angeles Clippers,9,PG,39,168,185,nan,947726.0
JJ Redick,Los Angeles Clippers,4,SG,31,164,190,Duke,7085000.0
Austin Rivers,Los Angeles Clippers,25,PG,23,160,200,Duke,3110796.0
C.J. Wilcox,Los Angeles Clippers,30,SG,25,169,195,Washington,1159680.0
Brandon Bass,Los Angeles Lakers,2,PF,31,178,250,LSU,3000000.0
Tarik Black,Los Angeles Lakers,28,C,24,177,250,Kansas,845059.0
Anthony Brown,Los Angeles Lakers,3,SF,23,155,210,Stanford,700000.0
Kobe Bryant,Los Angeles Lakers,24,SF,37,165,212,nan,25000000.0
Jordan Clarkson,Los Angeles Lakers,6,PG,24,171,194,Missouri,845059.0
Roy Hibbert,Los Angeles Lakers,17,C,29,161,270,Georgetown,15592217.0
Marcelo Huertas,Los Angeles Lakers,9,PG,33,158,200,nan,525093.0
Ryan Kelly,Los Angeles Lakers,4,PF,25,155,230,Duke,1724250.0
Larry Nance Jr.,Los Angeles Lakers,7,PF,23,168,230,Wyoming,1155600.0
Julius Randle,Los Angeles Lakers,30,PF,21,179,250,Kentucky,3132240.0
D'Angelo Russell,Los Angeles Lakers,1,PG,20,175,195,Ohio State,5103120.0
Robert Sacre,Los Angeles Lakers,50,C,27,152,270,Gonzaga,981348.0
Louis Williams,Los Angeles Lakers,23,SG,29,178,175,nan,7000000.0
Metta World Peace,Los Angeles Lakers,37,SF,36,169,260,St. John's,947276.0
Nick Young,Los Angeles Lakers,0,SF,31,180,210,USC,5219169.0
Eric Bledsoe,Phoenix Suns,2,PG,26,154,190,Kentucky,13500000.0
Devin Booker,Phoenix Suns,1,SG,19,176,206,Kentucky,2127840.0
Chase Budinger,Phoenix Suns,10,SF,28,160,209,Arizona,206192.0
Tyson Chandler,Phoenix Suns,4,C,33,162,240,nan,13000000.0
Archie Goodwin,Phoenix Suns,20,SG,21,166,200,Kentucky,1160160.0
John Jenkins,Phoenix Suns,23,SG,25,153,215,Vanderbilt,981348.0
Brandon Knight,Phoenix Suns,3,PG,24,152,189,Kentucky,13500000.0
Alex Len,Phoenix Suns,21,C,22,172,260,Maryland,3807120.0
Jon Leuer,Phoenix Suns,30,PF,27,161,228,Wisconsin,1035000.0
Phil Pressey,Phoenix Suns,25,PG,25,163,175,Missouri,55722.0
Ronnie Price,Phoenix Suns,14,PG,32,180,190,Utah Valley,947276.0
Mirza Teletovic,Phoenix Suns,35,PF,30,159,242,nan,5500000.0
P.J. Tucker,Phoenix Suns,17,SF,31,175,245,Texas,5500000.0
T.J. Warren,Phoenix Suns,12,SF,22,160,230,North Carolina State,2041080.0
Alan Williams,Phoenix Suns,15,C,23,154,260,UC Santa Barbara,83397.0
Quincy Acy,Sacramento Kings,13,SF,25,155,240,Baylor,981348.0
James Anderson,Sacramento Kings,5,SG,27,164,213,Oklahoma State,1015421.0
Marco Belinelli,Sacramento Kings,3,SG,30,172,210,nan,6060606.0
Caron Butler,Sacramento Kings,31,SF,36,175,228,Connecticut,1449187.0
Omri Casspi,Sacramento Kings,18,SF,27,166,225,nan,2836186.0
Willie Cauley-Stein,Sacramento Kings,0,C,22,169,240,Kentucky,3398280.0
Darren Collison,Sacramento Kings,7,PG,28,161,175,UCLA,5013559.0
DeMarcus Cousins,Sacramento Kings,15,C,25,166,270,Kentucky,15851950.0
Seth Curry,Sacramento Kings,30,SG,25,162,185,Duke,947276.0
Duje Dukan,Sacramento Kings,26,PF,24,173,220,Wisconsin,525093.0
Rudy Gay,Sacramento Kings,8,SF,29,170,230,Connecticut,12403101.0
Kosta Koufos,Sacramento Kings,41,C,27,170,265,Ohio State,7700000.0
Ben McLemore,Sacramento Kings,23,SG,23,175,195,Kansas,3156600.0
Eric Moreland,Sacramento Kings,25,PF,24,175,238,Oregon State,845059.0
Rajon Rondo,Sacramento Kings,9,PG,30,167,186,Kentucky,9500000.0
Cameron Bairstow,Chicago Bulls,41,PF,25,158,250,New Mexico,845059.0
Aaron Brooks,Chicago Bulls,0,PG,31,176,161,Oregon,2250000.0
Jimmy Butler,Chicago Bulls,21,SG,26,161,220,Marquette,16407500.0
Mike Dunleavy,Chicago Bulls,34,SG,35,161,230,Duke,4500000.0
Cristiano Felicio,Chicago Bulls,6,PF,23,161,275,nan,525093.0
Pau Gasol,Chicago Bulls,16,C,35,167,250,nan,7448760.0
Taj Gibson,Chicago Bulls,22,PF,30,170,225,USC,8500000.0
Justin Holiday,Chicago Bulls,7,SG,27,160,185,Washington,947276.0
Doug McDermott,Chicago Bulls,3,SF,24,151,225,Creighton,2380440.0
