iter	Passed	Remaining
0	12	3882
1	29	4359
2	40	3960
3	55	4082
4	70	4174
5	87	4269
6	103	4336
7	119	4376
8	135	4381
9	150	4371
10	166	4368
11	181	4361
12	198	4375
13	213	4365
14	230	4376
15	244	4337
16	261	4352
17	277	4345
18	292	4329
19	307	4306
20	323	4298
21	338	4281
22	353	4256
23	369	4245
24	384	4233
25	399	4210
26	415	4196
27	430	4177
28	445	4164
29	461	4150
30	477	4141
31	493	4133
32	507	4107
33	522	4090
34	537	4068
35	553	4057
36	568	4044
37	584	4027
38	600	4019
39	615	3999
40	629	3978
41	647	3975
42	664	3969
43	678	3949
44	694	3933
45	708	3912
46	724	3899
47	740	3889
48	757	3877
49	772	3861
50	787	3846
51	803	3832
52	820	3821
53	833	3797
54	847	3776
55	862	3756
56	878	3743
57	892	3723
58	907	3706
59	922	3691
60	937	3674
61	952	3654
62	966	3635
63	980	3614
64	995	3598
65	1010	3583
66	1024	3562
67	1040	3548
68	1055	3534
69	1071	3521
70	1089	3513
71	1104	3497
72	1120	3484
73	1136	3472
74	1154	3464
75	1172	3454
76	1192	3453
77	1209	3441
78	1230	3442
79	1249	3436
80	1267	3428
81	1284	3413
82	1301	3401
83	1318	3389
84	1333	3372
85	1348	3355
86	1363	3338
87	1378	3319
88	1394	3305
89	1408	3285
90	1422	3267
91	1438	3251
92	1452	3233
93	1469	3219
94	1483	3202
95	1499	3186
96	1514	3168
97	1529	3153
98	1546	3139
99	1563	3126
100	1582	3117
101	1602	3111
102	1623	3105
103	1641	3092
104	1663	3088
105	1680	3075
106	1696	3059
107	1712	3043
108	1727	3026
109	1743	3010
110	1760	2997
111	1776	2981
112	1793	2968
113	1811	2955
114	1827	2939
115	1843	2924
116	1861	2911
117	1877	2895
118	1893	2880
119	1911	2867
120	1926	2849
121	1942	2833
122	1957	2817
123	1975	2803
124	1992	2788
125	2008	2773
126	2026	2760
127	2044	2747
128	2060	2731
129	2076	2715
130	2093	2701
131	2109	2685
132	2126	2670
133	2144	2656
134	2159	2639
135	2174	2622
136	2190	2605
137	2205	2589
138	2221	2572
139	2236	2555
140	2250	2538
141	2266	2521
142	2281	2505
143	2296	2488
144	2312	2472
145	2328	2455
146	2342	2438
147	2357	2421
148	2372	2404
149	2388	2388
150	2402	2371
151	2417	2354
152	2434	2338
153	2449	2322
154	2464	2305
155	2479	2288
156	2491	2269
157	2505	2251
158	2521	2235
159	2535	2218
160	2551	2203
161	2566	2186
162	2582	2170
163	2598	2154
164	2615	2139
165	2631	2124
166	2646	2107
167	2666	2095
168	2688	2084
169	2709	2071
170	2739	2066
171	2759	2053
172	2775	2037
173	2794	2023
174	2823	2016
175	2848	2006
176	2875	1998
177	2899	1987
178	2921	1974
179	2939	1959
180	2956	1944
181	2973	1927
182	2989	1911
183	3006	1895
184	3022	1878
185	3039	1862
186	3057	1847
187	3075	1832
188	3092	1816
189	3108	1799
190	3126	1783
191	3142	1767
192	3162	1753
193	3181	1738
194	3198	1722
195	3216	1706
196	3234	1691
197	3263	1680
198	3292	1670
199	3316	1658
200	3336	1643
201	3355	1628
202	3373	1612
203	3392	1596
204	3408	1579
205	3426	1563
206	3445	1547
207	3461	1530
208	3479	1514
209	3494	1497
210	3511	1481
211	3527	1464
212	3543	1447
213	3563	1432
214	3582	1416
215	3600	1400
216	3618	1384
217	3635	1367
218	3654	1351
219	3674	1336
220	3692	1319
221	3710	1303
222	3728	1287
223	3748	1271
224	3767	1255
225	3785	1239
226	3811	1225
227	3831	1210
228	3855	1195
229	3880	1180
230	3904	1166
231	3926	1150
232	3945	1134
233	3965	1118
234	3983	1101
235	4003	1085
236	4021	1069
237	4039	1052
238	4058	1035
239	4073	1018
240	4089	1001
241	4104	983
242	4120	966
243	4135	949
244	4153	932
245	4169	915
246	4185	898
247	4201	880
248	4217	863
249	4234	846
250	4248	829
251	4265	812
252	4281	795
253	4297	778
254	4314	761
255	4329	744
256	4346	727
257	4361	709
258	4376	692
259	4390	675
260	4404	658
261	4420	641
262	4437	624
263	4453	607
264	4467	590
265	4485	573
266	4502	556
267	4520	539
268	4538	523
269	4555	506
270	4585	490
271	4603	473
272	4619	456
273	4634	439
274	4649	422
275	4665	405
276	4680	388
277	4696	371
278	4712	354
279	4727	337
280	4741	320
281	4756	303
282	4771	286
283	4785	269
284	4800	252
285	4815	235
286	4830	218
287	4845	201
288	4861	185
289	4877	168
290	4893	151
291	4909	134
292	4925	117
293	4952	101
294	4972	84
295	4998	67
296	5019	50
297	5046	33
298	5065	16
299	5091	0
